City,Area,PostCode
ATHENS,EKALI,14578
ATHENS,NEA ERITHREA,14671
ATHENS,PEFKI,15121
ATHENS,MAROUSI,15122
ATHENS,MELISIA,15127
ATHENS,HALANDRI,15231
ATHENS,VRILISIA,15235
ATHENS,PENTELI,15236
ATHENS,FILOTHEI,15237
ATHENS,HALANDRI - PATIMA,15238
ATHENS,AGIA PARASKEVI,15341
ATHENS,GERAKAS,15344
ATHENS,STAVROS,15344
ATHENS,ANTHOUSA,15349
ATHENS,PALINI,15351
ATHENS,GLIKA NERA,15354
ATHENS,PSIHIKO,15451
ATHENS,HOLARGOS,15561
ATHENS,PAPAGOU,15669
ATHENS,ZOGRAFOU,15771
ATHENS,KESARIANI,16121
ATHENS,VIRONAS,16231
ATHENS,ILIOUPOLI,16341
ATHENS,ARGIROUPOLI,16450
ATHENS,GLIFADA,16561
ATHENS,VOULIAGMENI,16671
ATHENS,VARI,16672
ATHENS,VOULA,16673
ATHENS,GLIFADA,16674
ATHENS,ELLINIKO,16677
ATHENS,NEA SMYRNI,17121
ATHENS,DAFNI,17234
ATHENS,IMITOS,17234
ATHENS,AGIOS DIMITRIOS,17341
ATHENS,ALIMOS,17455
ATHENS,PALEO FALIRO,17561
ATHENS,KALLITHEA,17671
ATHENS,TAVROS,17778
