City,Area,PostCode
THESSALONIKI,LIMANI THESSALONIKIS,54015
THESSALONIKI,HARILAOU,54248
THESSALONIKI,HARILAOU,54251
THESSALONIKI,KATO TOUMBA,54251
THESSALONIKI,KOSTADINOUPOLITIKA,54351
THESSALONIKI,ANO  TOUMBA,54352
THESSALONIKI,TOUMBA,54453
THESSALONIKI,TOUMBA,54454
THESSALONIKI,NEA REDESTOS,54460
THESSALONIKI,NEA REDESTOS,54500
THESSALONIKI,40 EKKLISIES,54621
THESSALONIKI,CENTER,54621
THESSALONIKI,CENTER,54626
THESSALONIKI,ANALIPSI,54638
THESSALONIKI,ANTHEON,54655
THESSALONIKI,DEPO,54655
THESSALONIKI,KALAMARIA,55131
THESSALONIKI,PANORAMA,55236
THESSALONIKI,TRIANDRIA,55337
THESSALONIKI,AGIOS PAVLOS,55438
THESSALONIKI,PILEA,55535
THESSALONIKI,POBOX OREOKASTR,56000
THESSALONIKI,AMPELOKIPI,56121
THESSALONIKI,MENEMENI,56121
THESSALONIKI,EVOSMOS,56224
THESSALONIKI,ELEUTHERIO - KORDELIO,56334
THESSALONIKI,STAVROUPOLI,56429
THESSALONIKI,STAVROUPOLI,56431
THESSALONIKI,POLIHNI,56532
THESSALONIKI,SIKIES,56625
THESSALONIKI,NEAPOLI,56727
THESSALONIKI,THERMI,57001
THESSALONIKI,SOHOS,57002
